date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2024-02-01,-13.14,4.26,30,"1994-02-01 2023-02-01",84.93,5.88,30,"1994-02-01 2023-02-01",-7.44,4.52,30,"1994-02-01 2023-02-01",19.28,2.14,30,"1994-02-01 2023-02-01",-22.84,5.09,30,"1994-02-01 2023-02-01",60.18,5.63,30,"1994-02-01 2023-02-01",-20.07,4.67,30,"1994-02-01 2023-02-01",2.09,1.09,30,"1994-02-01 2023-02-01",12.29,8.99,30,"1994-02-01 2023-02-01",,,,,,,,,31.8,12.98,27,"1994-02-01 2023-02-01",,,,
2024-01-01,-15.22,4.51,30,"1994-01-01 2023-01-01",84.72,6.53,30,"1994-01-01 2023-01-01",-11.27,3.94,30,"1994-01-01 2023-01-01",18.74,2.58,30,"1994-01-01 2023-01-01",-24.11,4.73,30,"1994-01-01 2023-01-01",69.03,5.58,30,"1994-01-01 2023-01-01",-21.47,3.83,30,"1994-01-01 2023-01-01",1.91,1.02,30,"1994-01-01 2023-01-01",15.93,8.98,30,"1994-01-01 2023-01-01",,,,,,,,,26.9,12.68,27,"1994-01-01 2023-01-01",,,,
2023-12-01,-13.55,4.77,30,"1993-12-01 2022-12-01",86.42,5.79,30,"1993-12-01 2022-12-01",-10.04,4.7,30,"1993-12-01 2022-12-01",18.17,1.93,30,"1993-12-01 2022-12-01",-21.84,4.96,30,"1993-12-01 2022-12-01",72.09,6.03,30,"1993-12-01 2022-12-01",-19.47,4.48,30,"1993-12-01 2022-12-01",1.91,1.01,30,"1993-12-01 2022-12-01",15.23,9.72,30,"1993-12-01 2022-12-01",,,,,,,,,18.9,10.46,25,"1993-12-01 2022-12-01",,,,
2023-11-01,-7.02,3.17,30,"1993-11-01 2022-11-01",90.15,3.9,30,"1993-11-01 2022-11-01",-2.97,3.29,30,"1993-11-01 2022-11-01",19.56,2,30,"1993-11-01 2022-11-01",-13.75,3.57,30,"1993-11-01 2022-11-01",69.24,4.91,30,"1993-11-01 2022-11-01",-11.67,3.24,30,"1993-11-01 2022-11-01",2.38,1.07,30,"1993-11-01 2022-11-01",15.32,9.37,30,"1993-11-01 2022-11-01",,,,,,,,,7.8,4.98,22,"1993-11-01 2022-11-01",,,,
2023-10-01,0.79,1.46,30,"1993-10-01 2022-10-01",90.92,4.29,30,"1993-10-01 2022-10-01",7.9,2.77,30,"1993-10-01 2022-10-01",21.13,2.46,30,"1993-10-01 2022-10-01",-4.42,1.63,30,"1993-10-01 2022-10-01",56,8.84,30,"1993-10-01 2022-10-01",-1.95,1.66,30,"1993-10-01 2022-10-01",2.63,1.35,30,"1993-10-01 2022-10-01",22.87,15.77,30,"1993-10-01 2022-10-01",,,,,,,,,1.1,1.6,15,"1993-10-01 2021-10-01",,,,
2023-09-01,7.85,1.84,30,"1993-09-01 2022-09-01",92.94,4.47,30,"1993-09-01 2022-09-01",16.78,2.5,30,"1993-09-01 2022-09-01",21.66,1.83,30,"1993-09-01 2022-09-01",1.98,1.97,30,"1993-09-01 2022-09-01",49.09,6.12,30,"1993-09-01 2022-09-01",3.98,1.81,30,"1993-09-01 2022-09-01",2.1,1.07,30,"1993-09-01 2022-09-01",39.84,27.2,30,"1993-09-01 2022-09-01",,,,,,,,,0.1,0.26,14,"1993-09-01 2009-09-01",,,,
2023-08-01,12.72,1.35,30,"1993-08-01 2022-08-01",93.07,3.68,30,"1993-08-01 2022-08-01",22.58,1.96,30,"1993-08-01 2022-08-01",20.98,2.14,30,"1993-08-01 2022-08-01",7.02,1.25,30,"1993-08-01 2022-08-01",46.16,5.55,30,"1993-08-01 2022-08-01",9.16,1.19,30,"1993-08-01 2022-08-01",1.79,1.16,30,"1993-08-01 2022-08-01",62.87,38.24,30,"1993-08-01 2022-08-01",,,,,,,,,0,0,15,"1993-08-01 2007-08-01",,,,
2023-07-01,13.73,1.26,30,"1993-07-01 2022-07-01",91.51,3.53,30,"1993-07-01 2022-07-01",24.27,1.47,30,"1993-07-01 2022-07-01",21.51,1.68,30,"1993-07-01 2022-07-01",8.1,1.18,30,"1993-07-01 2022-07-01",43.85,4.74,30,"1993-07-01 2022-07-01",10.97,1.02,30,"1993-07-01 2022-07-01",1.83,1.13,30,"1993-07-01 2022-07-01",80.9,33.63,30,"1993-07-01 2022-07-01",,,,,,,,,0,0,14,"1993-07-01 2007-07-01",,,,
2023-06-01,10.43,1.34,30,"1993-06-01 2022-06-01",88.06,5.44,30,"1993-06-01 2022-06-01",21.97,1.42,30,"1993-06-01 2022-06-01",21.88,2.46,30,"1993-06-01 2022-06-01",4.33,1.64,30,"1993-06-01 2022-06-01",40.07,5.51,30,"1993-06-01 2022-06-01",8.42,1.32,30,"1993-06-01 2022-06-01",2.11,1.15,30,"1993-06-01 2022-06-01",70.04,37.03,30,"1993-06-01 2022-06-01",,,,,,,,,0,0,15,"1993-06-01 2007-06-01",,,,
2023-05-01,3.69,1.84,30,"1993-05-01 2022-05-01",82.31,6.29,30,"1993-05-01 2022-05-01",17.22,2.29,30,"1993-05-01 2022-05-01",23.87,2.23,30,"1993-05-01 2022-05-01",-2.85,1.89,30,"1993-05-01 2022-05-01",32.98,5.41,30,"1993-05-01 2022-05-01",2.8,1.55,30,"1993-05-01 2022-05-01",2.85,1.23,30,"1993-05-01 2022-05-01",29.1,19.08,30,"1993-05-01 2022-05-01",,,,,,,,,0.5,0.9,15,"1993-05-01 2011-05-01",,,,
2023-04-01,-2.46,1.73,30,"1993-04-01 2022-04-01",81.77,4.85,30,"1993-04-01 2022-04-01",9.2,2.72,30,"1993-04-01 2022-04-01",23.53,1.96,30,"1993-04-01 2022-04-01",-9.1,2.04,30,"1993-04-01 2022-04-01",36.49,4.93,30,"1993-04-01 2022-04-01",-3.8,2.2,30,"1993-04-01 2022-04-01",3.15,1.49,30,"1993-04-01 2022-04-01",16.49,7.74,30,"1993-04-01 2022-04-01",,,,,,,,,8.9,9.2,26,"1993-04-01 2022-04-01",,,,
2023-03-01,-8.37,2.79,30,"1993-03-01 2022-03-01",83.07,5.81,30,"1993-03-01 2022-03-01",0.44,3.42,30,"1993-03-01 2022-03-01",21.72,1.98,30,"1993-03-01 2022-03-01",-16.77,3.83,30,"1993-03-01 2022-03-01",46.38,5.19,30,"1993-03-01 2022-03-01",-13.14,3.87,30,"1993-03-01 2022-03-01",2.59,1.07,30,"1993-03-01 2022-03-01",15.3,10.48,30,"1993-03-01 2022-03-01",,,,,,,,,26.2,14.78,27,"1993-03-01 2022-03-01",,,,
2023-02-01,-13.16,4.27,30,"1993-02-01 2022-02-01",84.48,6.34,30,"1993-02-01 2022-02-01",-7.34,4.51,30,"1993-02-01 2022-02-01",19.29,2.14,30,"1993-02-01 2022-02-01",-22.79,5.08,30,"1993-02-01 2022-02-01",59.71,6.12,30,"1993-02-01 2022-02-01",-19.95,4.69,30,"1993-02-01 2022-02-01",2.03,1.11,30,"1993-02-01 2022-02-01",12.09,9.11,30,"1993-02-01 2022-02-01",,,,,,,,,31.4,13.42,27,"1993-02-01 2022-02-01",,,,
2023-01-01,-15.48,4.38,30,"1993-01-01 2022-01-01",84.31,6.43,30,"1993-01-01 2022-01-01",-11.44,3.86,30,"1993-01-01 2022-01-01",18.68,2.62,30,"1993-01-01 2022-01-01",-24.47,4.51,30,"1993-01-01 2022-01-01",68.45,5.4,30,"1993-01-01 2022-01-01",-21.75,3.65,30,"1993-01-01 2022-01-01",1.83,1.04,30,"1993-01-01 2022-01-01",15.92,8.98,30,"1993-01-01 2022-01-01",,,,,,,,,27.2,12.49,27,"1993-01-01 2022-01-01",,,,
2022-12-01,-13.63,4.88,30,"1992-12-01 2021-12-01",86.19,6.03,30,"1992-12-01 2021-12-01",-10.06,4.73,30,"1992-12-01 2021-12-01",18.1,1.94,30,"1992-12-01 2021-12-01",-21.95,5.09,30,"1992-12-01 2021-12-01",71.67,6.41,30,"1992-12-01 2021-12-01",-19.55,4.56,30,"1992-12-01 2021-12-01",1.8,0.93,30,"1992-12-01 2021-12-01",15.18,9.76,30,"1992-12-01 2021-12-01",,,,,,,,,19,10.34,25,"1992-12-01 2021-12-01",,,,
2022-11-01,-6.87,3.21,30,"1992-11-01 2021-11-01",90.15,3.9,30,"1992-11-01 2021-11-01",-2.87,3.32,30,"1992-11-01 2021-11-01",19.4,1.88,30,"1992-11-01 2021-11-01",-13.54,3.69,30,"1992-11-01 2021-11-01",69.62,4.92,30,"1992-11-01 2021-11-01",-11.48,3.36,30,"1992-11-01 2021-11-01",2.28,1.06,30,"1992-11-01 2021-11-01",15.99,9.16,30,"1992-11-01 2021-11-01",,,,,,,,,8.2,4.78,22,"1992-11-01 2021-11-01",,,,
2022-10-01,0.72,1.44,30,"1992-10-01 2021-10-01",90.95,4.26,30,"1992-10-01 2021-10-01",7.73,2.61,30,"1992-10-01 2021-10-01",21.02,2.29,30,"1992-10-01 2021-10-01",-4.49,1.64,30,"1992-10-01 2021-10-01",56.23,8.58,30,"1992-10-01 2021-10-01",-2.06,1.6,30,"1992-10-01 2021-10-01",2.53,1.31,30,"1992-10-01 2021-10-01",23.01,15.63,30,"1992-10-01 2021-10-01",,,,,,,,,1.1,1.56,16,"1992-10-01 2021-10-01",,,,
2022-09-01,7.69,1.89,30,"1992-09-01 2021-09-01",93,4.46,30,"1992-09-01 2021-09-01",16.5,2.58,30,"1992-09-01 2021-09-01",21.58,1.83,30,"1992-09-01 2021-09-01",1.82,1.97,30,"1992-09-01 2021-09-01",49.48,6.18,30,"1992-09-01 2021-09-01",3.82,1.79,30,"1992-09-01 2021-09-01",2.03,1.08,30,"1992-09-01 2021-09-01",41.63,27.29,30,"1992-09-01 2021-09-01",,,,,,,,,0.1,0.28,15,"1992-09-01 2009-09-01",,,,
2022-08-01,12.58,1.36,30,"1992-08-01 2021-08-01",92.94,3.74,30,"1992-08-01 2021-08-01",22.45,1.92,30,"1992-08-01 2021-08-01",20.95,2.15,30,"1992-08-01 2021-08-01",6.86,1.31,30,"1992-08-01 2021-08-01",46.13,5.57,30,"1992-08-01 2021-08-01",9.02,1.2,30,"1992-08-01 2021-08-01",1.71,1.17,30,"1992-08-01 2021-08-01",61.65,37.97,30,"1992-08-01 2021-08-01",,,,,,,,,0,0,16,"1992-08-01 2007-08-01",,,,
2022-07-01,13.68,1.3,30,"1992-07-01 2021-07-01",91.45,3.55,30,"1992-07-01 2021-07-01",24.17,1.5,30,"1992-07-01 2021-07-01",21.31,1.78,30,"1992-07-01 2021-07-01",8.08,1.2,30,"1992-07-01 2021-07-01",44.08,4.58,30,"1992-07-01 2021-07-01",10.91,1.07,30,"1992-07-01 2021-07-01",1.73,1.08,30,"1992-07-01 2021-07-01",79.31,34.41,30,"1992-07-01 2021-07-01",,,,,,,,,0,0,15,"1992-07-01 2007-07-01",,,,
2022-06-01,10.45,1.33,30,"1992-06-01 2021-06-01",88.14,5.4,30,"1992-06-01 2021-06-01",21.93,1.44,30,"1992-06-01 2021-06-01",21.76,2.5,30,"1992-06-01 2021-06-01",4.32,1.64,30,"1992-06-01 2021-06-01",40.28,5.52,30,"1992-06-01 2021-06-01",8.36,1.33,30,"1992-06-01 2021-06-01",1.98,1.11,30,"1992-06-01 2021-06-01",72.65,36.87,30,"1992-06-01 2021-06-01",,,,,,,,,0,0,16,"1992-06-01 2007-06-01",,,,
2022-05-01,3.67,1.84,30,"1992-05-01 2021-05-01",82.18,6.3,30,"1992-05-01 2021-05-01",17.28,2.23,30,"1992-05-01 2021-05-01",23.79,2.2,30,"1992-05-01 2021-05-01",-2.86,1.89,30,"1992-05-01 2021-05-01",32.74,5.27,30,"1992-05-01 2021-05-01",2.8,1.55,30,"1992-05-01 2021-05-01",2.72,1.22,30,"1992-05-01 2021-05-01",28.9,19.13,30,"1992-05-01 2021-05-01",,,,,,,,,0.5,0.88,16,"1992-05-01 2011-05-01",,,,
2022-04-01,-2.39,1.73,30,"1992-04-01 2021-04-01",81.59,4.85,30,"1992-04-01 2021-04-01",9.32,2.67,30,"1992-04-01 2021-04-01",23.4,1.95,30,"1992-04-01 2021-04-01",-9.05,2.05,30,"1992-04-01 2021-04-01",36.37,4.81,30,"1992-04-01 2021-04-01",-3.75,2.19,30,"1992-04-01 2021-04-01",3,1.33,30,"1992-04-01 2021-04-01",17.42,7.99,30,"1992-04-01 2021-04-01",,,,,,,,,8.4,9.15,26,"1992-04-01 2021-04-01",,,,
2022-03-01,-8.27,2.85,30,"1992-03-01 2021-03-01",82.78,5.83,30,"1992-03-01 2021-03-01",0.63,3.52,30,"1992-03-01 2021-03-01",21.7,1.97,30,"1992-03-01 2021-03-01",-16.64,3.88,30,"1992-03-01 2021-03-01",46.07,5.35,30,"1992-03-01 2021-03-01",-12.94,3.97,30,"1992-03-01 2021-03-01",2.55,1.07,30,"1992-03-01 2021-03-01",15.29,10.48,30,"1992-03-01 2021-03-01",,,,,,,,,24.5,14.16,27,"1992-03-01 2021-03-01",,,,
2022-02-01,-13.02,4.26,30,"1992-02-01 2021-02-01",84.38,6.36,30,"1992-02-01 2021-02-01",-7.14,4.48,30,"1992-02-01 2021-02-01",19.22,2.11,30,"1992-02-01 2021-02-01",-22.52,5.03,30,"1992-02-01 2021-02-01",59.62,6.11,30,"1992-02-01 2021-02-01",-19.64,4.62,30,"1992-02-01 2021-02-01",1.97,1.13,30,"1992-02-01 2021-02-01",12.2,9.1,30,"1992-02-01 2021-02-01",,,,,,,,,30.7,12.8,27,"1992-02-01 2021-02-01",,,,
2022-01-01,-15.3,4.43,30,"1992-01-01 2021-01-01",84.34,6.44,30,"1992-01-01 2021-01-01",-11.23,3.9,30,"1992-01-01 2021-01-01",18.57,2.53,30,"1992-01-01 2021-01-01",-24.28,4.53,30,"1992-01-01 2021-01-01",68.33,5.38,30,"1992-01-01 2021-01-01",-21.55,3.68,30,"1992-01-01 2021-01-01",1.73,1.06,30,"1992-01-01 2021-01-01",15.89,8.97,30,"1992-01-01 2021-01-01",,,,,,,,,26.5,11.84,27,"1992-01-01 2021-01-01",,,,
2021-12-01,-13.39,4.72,30,"1991-12-01 2020-12-01",86.11,6.09,30,"1991-12-01 2020-12-01",-9.79,4.55,30,"1991-12-01 2020-12-01",18.13,1.98,30,"1991-12-01 2020-12-01",-21.76,4.95,30,"1991-12-01 2020-12-01",71.41,6.54,30,"1991-12-01 2020-12-01",-19.32,4.38,30,"1991-12-01 2020-12-01",1.74,0.95,30,"1991-12-01 2020-12-01",15.27,9.77,30,"1991-12-01 2020-12-01",,,,,,,,,18.6,9.71,25,"1991-12-01 2020-12-01",,,,
2021-11-01,-7.06,3.23,30,"1991-11-01 2020-11-01",89.98,3.92,30,"1991-11-01 2020-11-01",-3.07,3.34,30,"1991-11-01 2020-11-01",19.35,1.83,30,"1991-11-01 2020-11-01",-13.72,3.74,30,"1991-11-01 2020-11-01",69.56,4.93,30,"1991-11-01 2020-11-01",-11.66,3.39,30,"1991-11-01 2020-11-01",2.16,1.11,30,"1991-11-01 2020-11-01",16.5,9.7,30,"1991-11-01 2020-11-01",,,,,,,,,7.9,4.47,22,"1991-11-01 2020-11-01",,,,
2021-10-01,0.59,1.64,30,"1991-10-01 2020-10-01",90.87,4.4,30,"1991-10-01 2020-10-01",7.51,2.7,30,"1991-10-01 2020-10-01",20.86,2.14,30,"1991-10-01 2020-10-01",-4.66,1.9,30,"1991-10-01 2020-10-01",56.63,8.28,30,"1991-10-01 2020-10-01",-2.24,1.74,30,"1991-10-01 2020-10-01",2.37,1.23,30,"1991-10-01 2020-10-01",23.92,15.59,30,"1991-10-01 2020-10-01",,,,,,,,,1.1,1.55,16,"1991-10-01 2020-10-01",,,,
2021-09-01,7.6,1.86,30,"1991-09-01 2020-09-01",92.75,4.68,30,"1991-09-01 2020-09-01",16.43,2.58,30,"1991-09-01 2020-09-01",21.5,1.73,30,"1991-09-01 2020-09-01",1.71,1.94,30,"1991-09-01 2020-09-01",49.3,6.15,30,"1991-09-01 2020-09-01",3.76,1.75,30,"1991-09-01 2020-09-01",1.94,1.05,30,"1991-09-01 2020-09-01",42.77,28.19,30,"1991-09-01 2020-09-01",,,,,,,,,0.1,0.27,16,"1991-09-01 2009-09-01",,,,
2021-08-01,12.62,1.37,30,"1991-08-01 2020-08-01",92.71,4.04,30,"1991-08-01 2020-08-01",22.54,2,30,"1991-08-01 2020-08-01",20.86,2.09,30,"1991-08-01 2020-08-01",6.91,1.34,30,"1991-08-01 2020-08-01",46.04,5.61,30,"1991-08-01 2020-08-01",9.11,1.32,30,"1991-08-01 2020-08-01",1.63,1.16,30,"1991-08-01 2020-08-01",58.97,37.8,30,"1991-08-01 2020-08-01",,,,,,,,,0,0,17,"1991-08-01 2007-08-01",,,,
2021-07-01,13.64,1.32,30,"1991-07-01 2020-07-01",91.42,3.6,30,"1991-07-01 2020-07-01",24.12,1.49,30,"1991-07-01 2020-07-01",21.22,1.72,30,"1991-07-01 2020-07-01",8.04,1.21,30,"1991-07-01 2020-07-01",44.09,4.58,30,"1991-07-01 2020-07-01",10.86,1.05,30,"1991-07-01 2020-07-01",1.63,1.04,30,"1991-07-01 2020-07-01",81.75,33.99,30,"1991-07-01 2020-07-01",,,,,,,,,0,0,16,"1991-07-01 2007-07-01",,,,
2021-06-01,10.43,1.31,30,"1991-06-01 2020-06-01",88.26,5.32,30,"1991-06-01 2020-06-01",21.81,1.37,30,"1991-06-01 2020-06-01",21.57,2.4,30,"1991-06-01 2020-06-01",4.29,1.62,30,"1991-06-01 2020-06-01",40.57,5.61,30,"1991-06-01 2020-06-01",8.3,1.25,30,"1991-06-01 2020-06-01",1.91,1.09,30,"1991-06-01 2020-06-01",77.55,41.77,30,"1991-06-01 2020-06-01",,,,,,,,,0,0,17,"1991-06-01 2007-06-01",,,,
2021-05-01,3.75,1.81,30,"1991-05-01 2020-05-01",82.02,6.49,30,"1991-05-01 2020-05-01",17.36,2.25,30,"1991-05-01 2020-05-01",23.65,2.14,30,"1991-05-01 2020-05-01",-2.78,1.88,30,"1991-05-01 2020-05-01",32.73,5.27,30,"1991-05-01 2020-05-01",2.88,1.6,30,"1991-05-01 2020-05-01",2.6,1.13,30,"1991-05-01 2020-05-01",29.33,19.13,30,"1991-05-01 2020-05-01",,,,,,,,,0.4,0.86,17,"1991-05-01 2011-05-01",,,,
2021-04-01,-2.36,1.71,30,"1991-04-01 2020-04-01",81.31,5.16,30,"1991-04-01 2020-04-01",9.47,2.75,30,"1991-04-01 2020-04-01",23.29,1.94,30,"1991-04-01 2020-04-01",-8.94,2.02,30,"1991-04-01 2020-04-01",36.24,5,30,"1991-04-01 2020-04-01",-3.62,2.22,30,"1991-04-01 2020-04-01",2.96,1.38,30,"1991-04-01 2020-04-01",17.21,8.32,30,"1991-04-01 2020-04-01",,,,,,,,,8.4,9.17,26,"1991-04-01 2020-04-01",,,,
2021-03-01,-8.41,2.85,30,"1991-03-01 2020-03-01",82.62,5.9,30,"1991-03-01 2020-03-01",0.54,3.5,30,"1991-03-01 2020-03-01",21.52,1.77,30,"1991-03-01 2020-03-01",-16.81,3.9,30,"1991-03-01 2020-03-01",46.02,5.4,30,"1991-03-01 2020-03-01",-13.1,4,30,"1991-03-01 2020-03-01",2.45,1.09,30,"1991-03-01 2020-03-01",15.5,10.57,30,"1991-03-01 2020-03-01",,,,,,,,,24.7,14.01,27,"1991-03-01 2020-03-01",,,,
2021-02-01,-12.72,4.1,30,"1991-02-01 2020-02-01",84.36,6.38,30,"1991-02-01 2020-02-01",-6.81,4.34,30,"1991-02-01 2020-02-01",19.24,2.14,30,"1991-02-01 2020-02-01",-22.26,4.91,30,"1991-02-01 2020-02-01",59.34,6.39,30,"1991-02-01 2020-02-01",-19.32,4.57,30,"1991-02-01 2020-02-01",1.87,1.09,30,"1991-02-01 2020-02-01",12.57,9.03,30,"1991-02-01 2020-02-01",,,,,,,,,30.5,12.97,27,"1991-02-01 2020-02-01",,,,
2021-01-01,-15.5,4.37,30,"1991-01-01 2020-01-01",84.14,6.49,30,"1991-01-01 2020-01-01",-11.44,3.8,30,"1991-01-01 2020-01-01",18.58,2.54,30,"1991-01-01 2020-01-01",-24.61,4.46,30,"1991-01-01 2020-01-01",68.13,5.59,30,"1991-01-01 2020-01-01",-21.83,3.59,30,"1991-01-01 2020-01-01",1.67,1.03,30,"1991-01-01 2020-01-01",16.14,8.79,30,"1991-01-01 2020-01-01",,,,,,,,,26.7,11.76,27,"1991-01-01 2020-01-01",,,,
